"id","page","number","word","remember","Japanese","example"
"777","56","7","clergy","","",""
"778","56","8","pope","","",""
"779","56","9","bishop","","",""
"780","56","10","priest","","",""
"781","56","11","pilgrim","","",""
"782","56","12","laity","","",""
"783","56","13","philanthropist","","",""
"784","56","14","mentor","","",""
"785","57","1","aggressor","","",""
"786","57","2","refugee","","",""
"787","57","3","peasant","","",""
"788","57","4","immigrant","","",""
"789","57","5","offender","","",""
"790","57","6","confederate","","",""
"791","57","7","convict","","",""
"792","57","8","fugitive","","",""
"793","57","9","dictator","","",""
"794","57","10","protester","","",""
"795","57","11","rebel","","",""
"796","57","12","guerrilla","","",""
"797","57","13","mob","","",""
"798","57","14","dweller","","",""
"799","58","1","poacher","","",""
"800","58","2","mugger","","",""
"801","58","3","burglar","","",""
"802","58","4","kidnapper","","",""
"803","58","5","hostage","","",""
"804","58","6","assassin","","",""
"805","58","7","plaintiff","","",""
"806","58","8","defendant","","",""
"807","58","9","the accused","","",""
"808","58","10","prosecutor","","",""
"809","58","11","eyewitness","","",""
"810","58","12","juror","","",""
"811","58","13","counselor","","",""
"812","58","14","felon","","",""
"813","59","1","gratitude","","",""
"814","59","2","esteem","","",""
"815","59","3","warmth","","",""
"816","59","4","discretion","","",""
